序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4128,301378,通达海,26.0,-2.29,-0.61,15617.0,40826527.2,3.8,26.87,25.86,26.71,26.61,0.75,3.56,-20.96,1.89,2511600000.0,1140414834.0,0.0,-0.04,-21.99,-9.22
4129,603660,苏州科达,6.84,-2.29,-0.16,131179.0,90232471.0,2.71,7.01,6.82,6.92,7.0,0.59,2.46,-13.22,3.76,3671202912.0,3641836398.0,0.0,0.0,-11.97,1.94
4130,300497,富祥药业,8.53,-2.29,-0.2,60577.0,52221090.0,3.21,8.79,8.51,8.71,8.73,0.84,1.34,523.89,2.15,4691541234.0,3843321719.0,-0.12,0.24,-4.16,2.28
4131,688560,明冠新材,12.81,-2.29,-0.3,17839.0,22870421.0,3.13,13.13,12.72,13.13,13.11,1.01,0.89,-27.82,0.95,2578677570.0,2578677570.0,0.23,0.08,-0.39,0.16
4132,600606,绿地控股,1.71,-2.29,-0.04,719269.0,123922678.0,2.29,1.75,1.71,1.75,1.75,0.95,0.51,-24.31,0.38,24032713317.0,24032713317.0,-0.58,-0.58,-12.76,-18.57
4133,001339,智微智能,53.85,-2.29,-1.26,117253.0,640937327.33,4.17,56.0,53.7,55.13,55.11,0.96,16.03,80.05,6.28,13485637730.0,3938104081.0,0.0,-0.09,24.08,47.17
4134,603577,汇金通,8.11,-2.29,-0.19,58393.0,47481991.0,2.77,8.3,8.07,8.3,8.3,0.57,1.72,45.98,1.45,2750418101.0,2750418101.0,0.0,0.0,-5.7,1.5
4135,301037,保立佳,12.3,-2.3,-0.29,26631.0,33181966.8,2.86,12.66,12.3,12.59,12.59,0.47,3.92,-41.46,2.76,1715871869.0,836172438.0,-0.24,-0.32,9.04,19.3
4136,688035,德邦科技,39.53,-2.3,-0.93,17491.0,69516463.0,2.69,40.46,39.37,40.29,40.46,0.8,1.97,51.79,2.42,5622747200.0,3510960598.0,0.0,-0.25,-1.72,7.56
4137,300230,永利股份,4.68,-2.3,-0.11,317412.0,148755588.0,2.51,4.78,4.66,4.76,4.79,0.94,5.04,28.29,1.2,3805838904.0,2947569295.0,-0.21,-0.21,2.86,5.17
4138,300830,金现代,8.5,-2.3,-0.2,101549.0,86704568.04,2.99,8.7,8.44,8.66,8.7,0.64,3.22,-112.29,3.06,3656070533.0,2682344745.0,-0.12,0.12,-14.4,4.42
